epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.516,1.23051,1.86985,1.47505,0.00194,0.1762,0.00098,0.00026,4.40116,inf,135.847,0.000659091,0.000659091,0.000659091
2,247.647,1.44439,1.58935,1.66106,0.00538,0.24485,0.00336,0.00145,2.3527,inf,3.59938,0.00126013,0.00126013,0.00126013
3,375.337,1.30389,1.3418,1.53051,0.40231,0.42105,0.36397,0.19839,1.73771,3.51807,1.99041,0.00179517,0.00179517,0.00179517
4,505.246,1.25381,1.25244,1.49106,0.52697,0.33906,0.31584,0.17071,1.99198,3.91113,2.2844,0.001703,0.001703,0.001703
5,628.346,1.14769,1.08018,1.41542,0.79313,0.67277,0.75147,0.51633,1.14952,1.19721,1.47896,0.001604,0.001604,0.001604
6,760.819,1.10609,1.01657,1.36627,0.85359,0.69375,0.79637,0.5044,1.27238,1.02077,1.53735,0.001505,0.001505,0.001505
7,887.275,1.05954,0.94831,1.34779,0.89561,0.78719,0.86097,0.61312,1.05974,0.8978,1.37325,0.001406,0.001406,0.001406
8,1011.36,1.01585,0.88009,1.31437,0.88606,0.76523,0.83989,0.61769,1.01163,0.88215,1.29646,0.001307,0.001307,0.001307
9,1141.11,0.98626,0.84646,1.29671,0.91727,0.79634,0.85404,0.63003,1.0068,0.84585,1.29704,0.001208,0.001208,0.001208
10,1269.64,0.95924,0.8002,1.26392,0.89758,0.72769,0.82197,0.60779,1.0057,0.94146,1.28978,0.001109,0.001109,0.001109
11,1393.99,0.88508,0.70011,1.22322,0.93145,0.78032,0.88012,0.65612,0.9694,0.71499,1.26675,0.00101,0.00101,0.00101
12,1518.67,0.85071,0.62344,1.19045,0.89699,0.81922,0.89461,0.67096,0.93058,0.7195,1.22432,0.000911,0.000911,0.000911
13,1639.16,0.82847,0.61081,1.1854,0.94881,0.80596,0.91704,0.674,0.96186,0.64817,1.26871,0.000812,0.000812,0.000812
14,1786.81,0.8063,0.57089,1.18488,0.93101,0.86466,0.93266,0.70671,0.90537,0.61114,1.21442,0.000713,0.000713,0.000713
15,1914.68,0.74198,0.52415,1.12264,0.94098,0.87565,0.93044,0.72609,0.84533,0.55784,1.15907,0.000614,0.000614,0.000614
16,2057.03,0.71762,0.48763,1.12157,0.9494,0.87872,0.94154,0.73402,0.84004,0.55622,1.1764,0.000515,0.000515,0.000515
17,2194.09,0.71046,0.48312,1.09372,0.90014,0.89245,0.93762,0.7232,0.84707,0.5323,1.17239,0.000416,0.000416,0.000416
18,2325.28,0.69165,0.46385,1.08102,0.94668,0.88558,0.94764,0.73614,0.80397,0.51037,1.13184,0.000317,0.000317,0.000317
19,2468.45,0.68232,0.43246,1.08044,0.92861,0.89302,0.94579,0.75134,0.77796,0.49628,1.11637,0.000218,0.000218,0.000218
20,2598.95,0.6461,0.40652,1.05286,0.91338,0.90847,0.94536,0.75155,0.77676,0.48438,1.11649,0.000119,0.000119,0.000119
